Region,Loc,CATEGORY,BRAND,PACK,RTM,Period,ACT-2017,ACT-2018,BP-2018,,
Center,FSD,JUICE,Cappy Pulpy Tropical,350ml PET,Indirect,YTD,,,1254.397025,,
Center,FSD,JUICE,RANI FLOAT,240ml CAN,Indirect,MTD,135.888,57.812,,,
Center,FSD,JUICE,RANI FLOAT,240ml CAN,Indirect,TODAY,77.066,,,,
Center,FSD,JUICE,RANI FLOAT,240ml CAN,Indirect,WTD,135.888,57.812,,,
Center,FSD,JUICE,RANI FLOAT,240ml CAN,Indirect,YTD,14823.134,2217.24,,,
Center,FSD,JUICE,RANI PULPY Mango,1000ml PET,Direct,YTD,31.702,,,,
Center,FSD,JUICE,RANI PULPY Mango,1000ml PET,Indirect,MTD,1.057,,,,
Center,FSD,JUICE,RANI PULPY Mango,1000ml PET,Indirect,TODAY,1.057,,,,
Center,FSD,JUICE,RANI PULPY Mango,1000ml PET,Indirect,WTD,1.057,,,,
Center,FSD,JUICE,RANI PULPY Mango,1000ml PET,Indirect,YTD,694.324,,,,
Center,FSD,JUICE,RANI PULPY Mango,350ml PET,Direct,YTD,59.176,,,,
Center,FSD,JUICE,RANI PULPY Mango,350ml PET,Indirect,MTD,3.7,2.22,,,
Center,FSD,JUICE,RANI PULPY Mango,350ml PET,Indirect,TODAY,1.48,,,,
Center,FSD,JUICE,RANI PULPY Mango,350ml PET,Indirect,WTD,3.7,2.22,,,
Center,FSD,JUICE,RANI PULPY Mango,350ml PET,Indirect,YTD,971.362,15.538,,,
Center,FSD,JUICE,RANI PULPY Orange,1.25L PET,Indirect,YTD,9.247,,,,
Center,FSD,JUICE,RANI PULPY Orange,1000ml PET,Indirect,MTD,10.569,6.34,,,
Center,FSD,JUICE,RANI PULPY Orange,1000ml PET,Indirect,TODAY,2.114,,,,
Center,FSD,JUICE,RANI PULPY Orange,1000ml PET,Indirect,WTD,10.569,6.34,,,
Center,FSD,JUICE,RANI PULPY Orange,1000ml PET,Indirect,YTD,1049.414,14.796,,,
Center,FSD,JUICE,RANI PULPY Orange,350ml PET,Direct,MTD,1.479,,,,
Center,FSD,JUICE,RANI PULPY Orange,350ml PET,Direct,WTD,1.479,,,,
Center,FSD,JUICE,RANI PULPY Orange,350ml PET,Direct,YTD,161.258,,,,
Center,FSD,JUICE,RANI PULPY Orange,350ml PET,Indirect,MTD,358.06,,,,
Center,FSD,JUICE,RANI PULPY Orange,350ml PET,Indirect,TODAY,99.133,,,,
Center,FSD,JUICE,RANI PULPY Orange,350ml PET,Indirect,WTD,358.06,,,,
Center,FSD,JUICE,RANI PULPY Orange,350ml PET,Indirect,YTD,6395.212,,,,
Center,FSD,SPARKLING,COCA COLA ZERO,1500ml PET,Direct,MTD,11.095,6.34,,,
Center,FSD,SPARKLING,COCA COLA ZERO,1500ml PET,Direct,TODAY,7.925,1.585,,,
Center,FSD,SPARKLING,COCA COLA ZERO,1500ml PET,Direct,WTD,11.095,6.34,,,
Center,FSD,SPARKLING,COCA COLA ZERO,1500ml PET,Direct,YTD,147.409,199.715,,,
Center,FSD,SPARKLING,COCA COLA ZERO,1500ml PET,Indirect,MTD,315.428,1.585,193.0126113,,
Center,FSD,SPARKLING,COCA COLA ZERO,1500ml PET,Indirect,TODAY,3.17,,41.7933549,,
Center,FSD,SPARKLING,COCA COLA ZERO,1500ml PET,Indirect,WTD,315.428,1.585,193.0126113,,
